"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"annotate","annotate","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.74.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"AnnotationDbi","AnnotationDbi","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.58.0",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db,
AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"AnnotationHub","AnnotationHub","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.4.0",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors,
interactiveDisplayBase, httr, yaml, dplyr",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, SummarizedExperiment, ExperimentHub, gdsfmt,
rmarkdown, HubPub","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"askpass","askpass","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"assertthat","assertthat","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"Azimuth","Azimuth","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.4.6",NA,"R (>= 4.0.0)","DT (>= 0.15), future (>= 1.19.1), ggplot2 (>= 3.3.2),
glmGamPoi (>= 1.0.0), googlesheets4 (>= 0.2.0), hdf5r (>=
1.3.2), htmltools (>= 0.5.0), httr (>= 1.4.2), jsonlite (>=
1.7.0), Matrix (>= 1.2.18), methods, patchwork (>= 1.0.1),
presto, Rcpp (>= 1.0.7), rlang (>= 0.4.8), scales (>= 1.1.1),
Seurat (>= 4.0.0), SeuratDisk, SeuratObject, SeuratData, shiny
(>= 1.5.0), shinyBS (>= 0.61), shinydashboard (>= 0.7.1),
shinyjs (>= 2.0.0), stats, stringr (>= 1.4.0), tools, utils,
plotly, withr (>= 2.3.0)","Rcpp(>= 0.11.0)",NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"backports","backports","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"base","base","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,NA,NA,"methods",NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"base64enc","base64enc","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"beachmat","beachmat","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.12.0",NA,NA,"methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix, Rcpp","Rcpp","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"BH","BH","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.78.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.1"
